--- N = 850 --- D = 0.80 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	125	607	0	135	103	3	0,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	67	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	125	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	79	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	515	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	9	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
