fixed size
RTSeng	GLPeng	GnBeng	RTSmis	RTSmis	GLPmis
736	742	746	100	100	100
1214	1212	1220	2	2	2
649	401	988	1	0	2
653	400	969	0	0	0
507	512	943	0	0	0
509	518	928	0	0	0
513	517	834	0	0	0
509	522	830	0	0	0
508	516	829	0	0	0
502	512	821	0	0	0
503	514	819	0	0	0
508	519	816	0	0	0

fixed deadline
RTSeng	GLPeng	GnBeng	RTSmis	RTSmis	GLPmis
505	318	814	0	0	0
535	532	865	0	1	0
574	579	942	1	1	0
625	630	1014	2	2	1
666	674	1058	0	1	0
743	751	1137	1	2	3
903	783	1178	0	1	1
1024	942	1212	2	2	2
984	986	1297	1	1	1
1019	1019	1330	2	1	3
1068	1069	1367	4	4	3
1444	1445	1447	31	30	32
