--- N = 184 --- D = 0.60 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
(G)	4	0	184	-,0,	0	0.115	0
(G)	7	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	4	0	184	-,1,	1	0.115	0
(G)	4	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	7	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	4	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	7	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	4	0	184	-,0,	0	0.115	0
(G)	4	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	4	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	162	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	33	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	123	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	33	0	184	-,0,	0	0.115	0
(G)	31	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	5	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	5	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	4	0	184	-,1,	1	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
(G)	6	0	184	-,0,	0	0.115	0
