fixed size
RTSpwr	GnBpwr	totalT	engSav	RTSmis	GnBmis
2284.77	2285	60	0.60	100	100
2677.44	2678	77	0.77	76	79
2606	2643	82	30.34	1	0
2605	2631	83	21.58	0	0
2607	2629	82	18.04	0	0
2607	2625	83	15.48	0	0
2593	2610	86	14.62	0	0
2576	2590	86	12.04	0	0
2540	2553	90	11.70	0	0
2525	2536	93	10.12	0	0
2519	2529	96	9.60	0	0
2520	2528	104	8.32	0	0

fixed deadline
RTSpwr	GnBpwr	totalT	engSav	RTSmis	GnBmis
2646	2673	80	21.60	0	0
2656	2693	80	29.60	0	0
2655	2696	80	32.80	0	0
2652	2700	80	37.60	0	0
2660	2710	80	40.00	0	0
2618	2672	84	45.36	0	0
2605	2606	84	0.84	0	0
2648	2648.88	95	0.00	1	0
2670	2707	95	35.15	1	0
2724	2737	98	12.74	9	12
2731	2732	98	0.46	42	43
2724	2724.44	98	0.00	93	99
